dataset,feature,pearson_mean_abs,pearson_max_abs,spearman_mean_abs,spearman_max_abs,rf_importance_raw,rf_importance_norm,redundancy_mean_abs,redundancy_max_abs,high_redundancy,spearman_pearson_gap,possible_nonlinear_relation,correlation_strength,physical_score,redundancy_penalty,dp_fsm_score,feature_level,selection_decision,rank
fp,ax_pow,0.5592478733284502,0.7580644503091057,0.5297389229817104,0.7227642670934626,0.386992238076043,1.0,0.03326625529013592,0.08542250883379189,False,0.029508950346739726,False,0.5444933981550804,1.0,0.03326625529013592,0.7600213939175104,core,keep_core,1
fp,clad_T,0.42589305568936353,0.810443785121335,0.42255432540888704,0.8016136198920761,0.12618750498691217,0.3260724442801787,0.05192510835842945,0.1432361702292343,False,0.0033387302804764873,False,0.4242236905491253,1.0,0.05192510835842945,0.5198963296129483,candidate,keep_candidate,2
fp,porosity,0.22871135528087277,0.48389549353427797,0.2184398004288901,0.4669109838530108,0.18732641633794478,0.48405729600482483,0.03180441842880197,0.07890216370751502,False,0.010271554851982667,False,0.22357557785488144,1.0,0.03180441842880197,0.5091094203150316,candidate,keep_candidate,3
fp,rough_fuel,0.22492115121570866,0.44699859752137244,0.19832782189368103,0.4110404892606806,0.05315592857965609,0.13735657553217148,0.035038903469816744,0.0867778784280431,False,0.026593329322027626,False,0.21162448655469485,1.0,0.035038903469816744,0.4011904282790782,low_priority,optional_drop_or_compare,4
fp,inlet_T,0.06907709819263147,0.09754424983423501,0.088417859048247,0.11211683620212366,0.029063342691902107,0.07510058298944806,0.040791016951947666,0.11262900210396624,False,0.019340760855615535,False,0.07874747862043924,1.0,0.040791016951947666,0.3420753167877714,low_priority,optional_drop_or_compare,5
fp,clad_thick,0.05413292436055076,0.07233500257760572,0.05688370555663087,0.07453866561323376,0.03114187262277665,0.08047156908779486,0.036956089294950416,0.08170010038049137,False,0.0027507811960801112,False,0.05550831495859082,1.0,0.036956089294950416,0.33709835628442064,low_priority,optional_drop_or_compare,6
fp,gap_thick,0.10624514089650716,0.18048356876075677,0.09935551662653308,0.16563530275624924,0.01187589537602173,0.030687683647257408,0.04342787173702187,0.11299706220958973,False,0.006889624269974082,False,0.10280032876152012,1.0,0.04342787173702187,0.33570361654893105,low_priority,optional_drop_or_compare,7
fp,rough_clad,0.03084352537885658,0.05148780747640191,0.037565702785482734,0.06316727145058813,0.02440889939133833,0.06307335649078843,0.029743144037197092,0.1432361702292343,False,0.006722177406626152,False,0.034204614082169654,1.0,0.029743144037197092,0.32620907676816774,low_priority,optional_drop_or_compare,8
fp,fuel_dens,0.027290787096865478,0.039526790362994856,0.04684150826311424,0.07537767177433492,0.027811964294903645,0.07186698222468912,0.04912106032267541,0.0867778784280431,False,0.019550721166248765,False,0.037066147679989864,0.5,0.04912106032267541,0.17776783293913614,low_priority,optional_drop_or_compare,9
fp,pellet_h,0.29894331456858625,0.8954128389929719,0.28536731328404674,0.8889077587082823,0.031051473190678927,0.08023797413884408,0.04421438827261953,0.09137549041832367,False,0.013576001284539507,False,0.2921553139263165,0.0,0.04421438827261953,0.10729654759228621,low_priority,optional_drop_or_compare,10
fp,pressure,0.039974730769133604,0.09171430409573414,0.052083683276916704,0.10325637832333533,0.034022572285085394,0.08791538676390726,0.042118388764042856,0.07777600028488008,False,0.0121089525077831,False,0.046029207023025154,0.0,0.042118388764042856,0.03597153925967544,low_priority,optional_drop_or_compare,11
fp,pellet_OD,0.0326978359381803,0.04449298111247375,0.024282504455935272,0.035313960776053734,0.029109088479933865,0.07521879153094023,0.04599760790529301,0.11299706220958973,False,0.008415331482245027,False,0.028490170197057785,0.0,0.04599760790529301,0.026512927727870103,low_priority,optional_drop_or_compare,12
fp,enrich,0.006316769277011904,0.008742385966178032,0.01382931441812876,0.02877813856758315,0.027852803686803415,0.0719725124857166,0.04019098193768699,0.10097657022935347,False,0.007512545141116856,False,0.010073041847570331,0.0,0.04019098193768699,0.020594568106217376,low_priority,optional_drop_or_compare,13
