dataset,feature_a,feature_b,abs_pearson_corr,is_high_redundancy
fp,rough_clad,clad_T,0.1432361702292343,False
fp,pellet_OD,gap_thick,0.11299706220958973,False
fp,inlet_T,clad_T,0.11262900210396624,False
fp,pellet_OD,enrich,0.10097657022935347,False
fp,pellet_h,inlet_T,0.09137549041832367,False
fp,fuel_dens,rough_fuel,0.0867778784280431,False
fp,gap_thick,ax_pow,0.08542250883379189,False
fp,fuel_dens,clad_thick,0.08170010038049137,False
fp,fuel_dens,pellet_OD,0.0809333598834709,False
fp,fuel_dens,porosity,0.07890216370751502,False
fp,rough_fuel,pressure,0.07777600028488008,False
fp,pellet_h,pressure,0.07626531707702011,False
fp,porosity,ax_pow,0.07586011384863688,False
fp,clad_thick,enrich,0.07541041416036395,False
fp,fuel_dens,enrich,0.06813171374744922,False
fp,pellet_h,clad_T,0.06742535743131485,False
fp,pellet_OD,rough_clad,0.06688746527128119,False
fp,enrich,rough_clad,0.06072265886540452,False
fp,gap_thick,rough_fuel,0.05838118766017171,False
fp,pellet_h,rough_fuel,0.054422042109213135,False
fp,clad_thick,pressure,0.05242480670100787,False
fp,clad_thick,pellet_h,0.05197439209611994,False
fp,clad_thick,inlet_T,0.051896502367816406,False
fp,clad_thick,clad_T,0.05051827404432534,False
fp,inlet_T,pressure,0.05021313028588349,False
fp,ax_pow,pressure,0.04921222856961827,False
fp,porosity,gap_thick,0.04659722342140941,False
fp,enrich,pressure,0.04645675787550433,False
fp,ax_pow,clad_T,0.04512615652624998,False
fp,fuel_dens,pellet_h,0.044719651407709705,False
fp,fuel_dens,gap_thick,0.043700782676590055,False
fp,pellet_OD,clad_T,0.04274859991614436,False
fp,gap_thick,clad_T,0.04214669771703896,False
fp,gap_thick,enrich,0.04153313504462605,False
fp,pellet_OD,pellet_h,0.04056563012219594,False
fp,clad_T,pressure,0.03835319318109297,False
fp,porosity,pressure,0.0357013608374179,False
fp,gap_thick,inlet_T,0.03567862553053369,False
fp,rough_fuel,ax_pow,0.03559307694681733,False
fp,fuel_dens,inlet_T,0.03496912580256902,False
fp,fuel_dens,clad_T,0.033251865380944455,False
fp,pellet_h,ax_pow,0.03303921188340251,False
fp,pellet_h,gap_thick,0.03139769681757134,False
fp,pellet_OD,rough_fuel,0.029600867047348853,False
fp,pellet_OD,pressure,0.029570172863490996,False
fp,fuel_dens,pressure,0.029515824727466375,False
fp,porosity,pellet_h,0.028171071574970803,False
fp,clad_thick,rough_fuel,0.026030608922457173,False
fp,enrich,ax_pow,0.025889810831165608,False
fp,inlet_T,rough_clad,0.02503779081484531,False
fp,inlet_T,ax_pow,0.023583711987516513,False
fp,porosity,inlet_T,0.022245044784583286,False
fp,pellet_OD,inlet_T,0.02120341355537244,False
fp,porosity,clad_T,0.018725181021924487,False
fp,porosity,clad_thick,0.01863722340454148,False
fp,clad_thick,rough_clad,0.01796008180725481,False
fp,porosity,rough_fuel,0.01701142555777267,False
fp,enrich,clad_T,0.016929113513565387,False
fp,porosity,enrich,0.016774296091381088,False
fp,porosity,rough_clad,0.015903762607922367,False
fp,gap_thick,pressure,0.014480567317992675,False
fp,enrich,rough_fuel,0.012376042732288326,False
fp,rough_fuel,clad_T,0.012011689235352096,False
fp,rough_clad,ax_pow,0.011579611341762627,False
fp,inlet_T,enrich,0.01038068337939962,False
fp,inlet_T,rough_fuel,0.01027968239256232,False
fp,clad_thick,pellet_OD,0.009834499820062676,False
fp,pellet_OD,ax_pow,0.009529499657657472,False
fp,porosity,pellet_OD,0.007124154287548207,False
fp,pellet_h,enrich,0.006710586781742314,False
fp,clad_thick,gap_thick,0.006474967967988914,False
fp,rough_clad,pressure,0.005451305447139188,False
fp,pellet_h,rough_clad,0.004506211551850056,False
fp,fuel_dens,ax_pow,0.003747933188036907,False
fp,fuel_dens,rough_clad,0.0031023245418187223,False
fp,gap_thick,rough_clad,0.0023240056469579955,False
fp,clad_thick,ax_pow,0.0006111998669749897,False
fp,rough_fuel,rough_clad,0.00020634032089405558,False
