dataset,feature_a,feature_b,abs_pearson_corr,is_high_redundancy
htgr,theta6,theta8,0.04683973345211094,False
htgr,theta2,theta4,0.04683973345211081,False
htgr,theta5,theta7,0.046839733452110684,False
htgr,theta1,theta3,0.04683973345211064,False
htgr,theta7,theta8,0.03853703426389072,False
htgr,theta5,theta6,0.03853703426389065,False
htgr,theta1,theta2,0.03853703426389064,False
htgr,theta3,theta4,0.0385370342638906,False
htgr,theta2,theta6,0.035304010019110765,False
htgr,theta3,theta7,0.03530401001911068,False
htgr,theta1,theta5,0.03453127309047449,False
htgr,theta4,theta8,0.03453127309047438,False
htgr,theta3,theta8,0.034317690718965475,False
htgr,theta4,theta7,0.034317690718965364,False
htgr,theta1,theta6,0.034317690718965344,False
htgr,theta2,theta5,0.034317690718965274,False
htgr,theta3,theta6,0.026903630537667776,False
htgr,theta2,theta7,0.02690363053766769,False
htgr,theta1,theta4,0.019600090639361707,False
htgr,theta5,theta8,0.019600090639361523,False
htgr,theta3,theta5,0.010767724606169352,False
htgr,theta1,theta7,0.01076772460616925,False
htgr,theta2,theta8,0.01076772460616923,False
htgr,theta4,theta6,0.010767724606169224,False
htgr,theta1,theta8,0.0034181828864681906,False
htgr,theta4,theta5,0.0034181828864680206,False
htgr,theta2,theta3,0.0006469306321272626,False
htgr,theta6,theta7,0.0006469306321272404,False
