dataset,feature_a,feature_b,abs_pearson_corr,is_high_redundancy
microreactor,theta3,theta8,0.08938736776436157,False
microreactor,theta2,theta7,0.07046016827765328,False
microreactor,theta1,theta8,0.0703293019209037,False
microreactor,theta4,theta5,0.057375069557432726,False
microreactor,theta3,theta5,0.04490399873789179,False
microreactor,theta1,theta3,0.04286653863006116,False
microreactor,theta2,theta8,0.039034951372666354,False
microreactor,theta1,theta7,0.03782979449960911,False
microreactor,theta1,theta6,0.037646126482885164,False
microreactor,theta6,theta7,0.030865842668884685,False
microreactor,theta4,theta7,0.02894675520377864,False
microreactor,theta2,theta3,0.028670112923711088,False
microreactor,theta4,theta6,0.01989472892419148,False
microreactor,theta6,theta8,0.01870666039284647,False
microreactor,theta2,theta5,0.016434826626665188,False
microreactor,theta5,theta8,0.01565949789242119,False
microreactor,theta2,theta6,0.0131321644508483,False
microreactor,theta2,theta4,0.012587055849230634,False
microreactor,theta7,theta8,0.011729572654943697,False
microreactor,theta3,theta7,0.011321198531429901,False
microreactor,theta1,theta4,0.00973265937900398,False
microreactor,theta5,theta6,0.008543273136465655,False
microreactor,theta3,theta4,0.00827113402579386,False
microreactor,theta1,theta5,0.006045434841575066,False
microreactor,theta1,theta2,0.004905664547663284,False
microreactor,theta4,theta8,0.003365712338215808,False
microreactor,theta3,theta6,0.0013651711221796833,False
microreactor,theta5,theta7,0.0007455727143754669,False
