dataset,feature_a,feature_b,abs_pearson_corr,is_high_redundancy
powery,CR2,CR4,0.06624565884616714,False
powery,CR1,CR3,0.05296560288424837,False
powery,CR2,CR5,0.04676797339220974,False
powery,CR1,CR4,0.035271196198389566,False
powery,CR1,CR6,0.033424488406265794,False
powery,CR3,CR5,0.028960180484268072,False
powery,CR3,CR4,0.0242097522667009,False
powery,CR4,CR6,0.02377787765796164,False
powery,CR2,CR3,0.023186843097256882,False
powery,CR5,CR6,0.01809864474113041,False
powery,CR2,CR6,0.016303787691177973,False
powery,CR1,CR2,0.004363096886325439,False
powery,CR1,CR5,0.00202689898077324,False
powery,CR3,CR6,0.0019085766134807412,False
powery,CR4,CR5,0.0003065816288930546,False
