dataset,feature_a,feature_b,abs_pearson_corr,is_high_redundancy
xs,Scatter12,Scatter11,0.9126836707104901,True
xs,Scatter21,Scatter22,0.7713426756860324,False
xs,CaptureFast,Scatter11,0.7650940813518246,False
xs,CaptureFast,Scatter12,0.7601914830947263,False
xs,FissionFast,Scatter12,0.6707664238750103,False
xs,FissionFast,Scatter11,0.6319011548748094,False
xs,FissionFast,CaptureFast,0.5774892401734688,False
xs,Scatter11,Scatter22,0.4231455557657684,False
xs,Scatter11,Scatter21,0.3880558184630842,False
xs,CaptureThermal,Scatter21,0.337126331511068,False
xs,FissionThermal,CaptureThermal,0.23205620274951466,False
xs,CaptureFast,CaptureThermal,0.21635820121403188,False
xs,FissionFast,FissionThermal,0.20773937320371857,False
xs,CaptureFast,Scatter21,0.18042521487218185,False
xs,Scatter12,Scatter22,0.155718527335066,False
xs,FissionThermal,Scatter21,0.11811489536897796,False
xs,CaptureFast,Scatter22,0.09035294051016027,False
xs,Scatter12,Scatter21,0.08184210535005398,False
xs,FissionThermal,Scatter11,0.07322361607420828,False
xs,FissionThermal,Scatter22,0.061758979869775396,False
xs,FissionThermal,Scatter12,0.05782833402442409,False
xs,CaptureFast,FissionThermal,0.04304601634306995,False
xs,CaptureThermal,Scatter22,0.04115280569378468,False
xs,CaptureThermal,Scatter12,0.04040101835791879,False
xs,CaptureThermal,Scatter11,0.02698660832272943,False
xs,FissionFast,CaptureThermal,0.01677801499071619,False
xs,FissionFast,Scatter22,0.011529742427741718,False
xs,FissionFast,Scatter21,0.00806413372309973,False
