dataset,feature_set,model,n_samples,n_train,n_test,input_dim,output_dim,mean_r2,mean_mae,mean_rmse,mean_nmae,mean_nrmse,std_r2,std_nrmse,r2_rank,nrmse_rank,nmae_rank,rank_score,model_rank
bwr,full,GradientBoosting,2000,1600,400,9,5,0.9663074321720755,0.07428993065577896,0.15463918816234784,0.020252528789232054,0.04030319338118548,0.020350876167964566,0.01873427294374617,1.0,1.0,1.0,1.0,1
bwr,selected,GradientBoosting,2000,1600,400,1,5,0.941670979020552,0.08316956336396994,0.17651297859983242,0.029980351162447703,0.05530688568818902,0.02805721402927899,0.013810623276572483,1.0,1.0,1.0,1.0,1
chf,full,RandomForest,2500,2000,500,6,1,0.955647782372684,195.06500395151014,325.0459489754597,0.014956785554633782,0.024923192042366076,0.0,0.0,1.0,1.0,2.0,1.25,1
chf,selected,KNN,2500,2000,500,2,1,0.7612058736089968,524.0836498658595,754.2214996965057,0.040184587726878884,0.05783061545196042,0.0,0.0,1.0,1.0,1.0,1.0,1
fp,full,Ridge,400,320,80,13,4,0.9775273909250275,0.9555410741020076,1.1376597660111505,0.014977775452968915,0.01778091057208431,0.03453986490814574,0.017485954364903696,1.0,1.0,1.0,1.0,1
fp,selected,Ridge,400,320,80,1,4,0.34056271997944665,6.711970419303239,8.209039984306708,0.10886083667842598,0.13319540914513828,0.17897041297364458,0.02364107839216122,1.0,1.0,1.0,1.0,1
heat,full,GradientBoosting,1000,800,200,7,1,0.9974652259661068,5.933927545019719,7.474228342116751,0.008859406531552387,0.011159089303009526,0.0,0.0,1.0,1.0,1.0,1.0,1
heat,selected,GradientBoosting,1000,800,200,1,1,0.9062522021957966,37.40687179445076,45.45454074818925,0.05584879184762586,0.06786403307724982,0.0,0.0,1.0,1.0,1.0,1.0,1
htgr,full,GradientBoosting,3004,2403,601,8,4,0.9029671894254709,0.0010190506205868051,0.001323921117469205,0.039929306961549726,0.051875001716661824,0.0010632429978080012,0.000894847577824047,1.0,1.0,1.0,1.0,1
htgr,selected,GradientBoosting,3004,2403,601,3,4,0.3573156568151888,0.0027329141669385545,0.003394333474824221,0.10708336413005706,0.13299965723790555,0.13129078042791859,0.01485193352361595,1.0,1.0,1.0,1.0,1
microreactor,full,GradientBoosting,751,600,151,8,4,0.6581336217760099,2.3598804952570515e+17,2.864370465386258e+17,0.08508041876459055,0.10327729719184744,0.01743499057474872,0.004237494216156942,1.0,1.0,1.0,1.0,1
microreactor,selected,GradientBoosting,751,600,151,2,4,0.16891880546885002,3.6165137244342464e+17,4.4681069844297734e+17,0.13037949346266162,0.16106895938561339,0.03060656816411144,0.006247363628291721,1.0,1.0,1.0,1.0,1
powery,full,Ridge,1000,800,200,6,22,0.995286615967924,12.288705065261668,16.578576015027927,0.009648296136577174,0.013052084245611184,0.0019643193447002054,0.002092350282253618,1.0,1.0,1.0,1.0,1
powery,selected,Ridge,1000,800,200,5,22,0.824461445401884,70.78714637449848,81.58268865791815,0.056183291534682926,0.06467650509705133,0.24647648033409628,0.05224592951496698,1.0,1.0,1.0,1.0,1
rea,full,GradientBoosting,2000,1600,400,4,4,0.9927422132912427,2.8200190571790964,3.8794600378366346,0.006372609988961679,0.009807755185591046,0.004659064796294319,0.000676283216946664,1.0,1.0,1.0,1.0,1
rea,selected,GradientBoosting,2000,1600,400,2,4,0.9858025031050397,3.5018028293504893,4.7889070090832995,0.010030579858140251,0.014858331879569912,0.005666704220647097,0.005307856308548712,1.0,1.0,2.0,1.25,1
xs,full,Ridge,1000,800,200,8,1,0.9999347287510318,4.392055397100747e-05,6.21592137181258e-05,0.0009591315944052982,0.0013574251772826198,0.0,0.0,1.0,1.0,1.0,1.0,1
xs,selected,Ridge,1000,800,200,4,1,0.9566031012932354,0.0013077851638318826,0.0016027799387462612,0.028559249734274133,0.035001308934885116,0.0,0.0,1.0,1.0,1.0,1.0,1
