dataset,feature,grid_value,target,mean_prediction
chf,L (m),0.6067879836012529,target_1,2824.5986248378463
chf,L (m),0.9751877394916225,target_1,2409.0282655365436
chf,L (m),1.3435874953819922,target_1,1997.4818141789058
chf,L (m),1.711987251272362,target_1,1796.185877787746
chf,L (m),2.0803870071627317,target_1,1626.3786092355374
chf,L (m),2.448786763053101,target_1,1547.6544845758756
chf,L (m),2.817186518943471,target_1,1453.298595652813
chf,L (m),3.185586274833841,target_1,1348.4352652618932
chf,L (m),3.55398603072421,target_1,1336.399568850284
chf,L (m),3.92238578661458,target_1,1310.4826052375593
chf,L (m),4.290785542504949,target_1,1273.8847279985782
chf,L (m),4.659185298395319,target_1,1242.5476642458002
chf,L (m),5.027585054285689,target_1,1190.9694244183313
chf,L (m),5.395984810176058,target_1,1177.9485309030968
chf,L (m),5.764384566066428,target_1,1165.512897064008
chf,Xe (-),-0.07456795587350339,target_1,3202.625880049962
chf,Xe (-),-0.011490405836239684,target_1,3007.41473003083
chf,Xe (-),0.05158714420102402,target_1,2570.4053788558176
chf,Xe (-),0.11466469423828772,target_1,2139.4919455077693
chf,Xe (-),0.1777422442755514,target_1,2006.7326301553728
chf,Xe (-),0.24081979431281508,target_1,1855.150058595505
chf,Xe (-),0.3038973443500788,target_1,1748.3153352627064
chf,Xe (-),0.36697489438734254,target_1,1674.8663664042667
chf,Xe (-),0.4300524444246062,target_1,1612.2807633479295
chf,Xe (-),0.4931299944618699,target_1,1586.0641038363885
chf,Xe (-),0.5562075444991336,target_1,1554.1843816901753
chf,Xe (-),0.6192850945363974,target_1,1532.1015702025643
chf,Xe (-),0.682362644573661,target_1,1494.3695594859996
chf,Xe (-),0.7454401946109247,target_1,1449.4674355244388
chf,Xe (-),0.8085177446481885,target_1,1398.9527260899235
heat,qprime,36748.06063719584,target_1,1109.159236057315
heat,qprime,37218.76364067346,target_1,1129.4366620850747
heat,qprime,37689.466644151085,target_1,1142.4011048156044
heat,qprime,38160.1696476287,target_1,1149.8929686300412
heat,qprime,38630.87265110632,target_1,1161.806436365228
heat,qprime,39101.57565458394,target_1,1173.3853735074754
heat,qprime,39572.278658061565,target_1,1186.8878325162539
heat,qprime,40042.98166153918,target_1,1397.179064492635
heat,qprime,40513.6846650168,target_1,1410.6055881767952
heat,qprime,40984.387668494426,target_1,1420.621261469735
heat,qprime,41455.090671972044,target_1,1434.9067351224005
heat,qprime,41925.79367544966,target_1,1448.0532984427578
heat,qprime,42396.49667892729,target_1,1459.3356010710102
heat,qprime,42867.199682404906,target_1,1473.9702090569115
heat,qprime,43337.902685882524,target_1,1483.0043104390686
heat,k,0.9485836096251229,target_1,1229.7326602146666
heat,k,0.9555015604687357,target_1,1234.4316899260705
heat,k,0.9624195113123485,target_1,1243.603216216147
heat,k,0.9693374621559613,target_1,1249.6281519392924
heat,k,0.9762554129995741,target_1,1259.0924763777339
heat,k,0.9831733638431869,target_1,1268.9298800950564
heat,k,0.9900913146867997,target_1,1282.346948564301
heat,k,0.9970092655304126,target_1,1288.7240986751012
heat,k,1.0039272163740254,target_1,1301.1189703081286
heat,k,1.0108451672176382,target_1,1309.0704502721126
heat,k,1.017763118061251,target_1,1322.3962502322568
heat,k,1.0246810689048638,target_1,1334.6751782265521
heat,k,1.0315990197484766,target_1,1344.3260666958504
heat,k,1.0385169705920894,target_1,1352.6282536368426
heat,k,1.0454349214357022,target_1,1359.3006552534932
xs,FissionThermal,0.1288209,target_1,1.2426501496352593
xs,FissionThermal,0.12898079999999998,target_1,1.243866983034113
xs,FissionThermal,0.1291407,target_1,1.2450838164329667
xs,FissionThermal,0.1293006,target_1,1.2463006498318203
xs,FissionThermal,0.12946049999999998,target_1,1.247517483230674
xs,FissionThermal,0.1296204,target_1,1.2487343166295277
xs,FissionThermal,0.1297803,target_1,1.249951150028381
xs,FissionThermal,0.1299402,target_1,1.2511679834272351
xs,FissionThermal,0.1301001,target_1,1.2523848168260887
xs,FissionThermal,0.13026,target_1,1.2536016502249423
xs,FissionThermal,0.1304199,target_1,1.254818483623796
xs,FissionThermal,0.1305798,target_1,1.2560353170226497
xs,FissionThermal,0.1307397,target_1,1.2572521504215033
xs,FissionThermal,0.1308996,target_1,1.258468983820357
xs,FissionThermal,0.1310595,target_1,1.2596858172192105
xs,CaptureFast,0.009252531999999999,target_1,1.258232510966427
xs,CaptureFast,0.00927210132142857,target_1,1.2572376334976183
xs,CaptureFast,0.009291670642857143,target_1,1.2562427560288096
xs,CaptureFast,0.009311239964285714,target_1,1.2552478785600008
xs,CaptureFast,0.009330809285714285,target_1,1.254253001091192
xs,CaptureFast,0.009350378607142856,target_1,1.2532581236223834
xs,CaptureFast,0.009369947928571428,target_1,1.2522632461535748
xs,CaptureFast,0.00938951725,target_1,1.251268368684766
xs,CaptureFast,0.009409086571428572,target_1,1.2502734912159572
xs,CaptureFast,0.009428655892857143,target_1,1.2492786137471483
xs,CaptureFast,0.009448225214285715,target_1,1.2482837362783399
xs,CaptureFast,0.009467794535714285,target_1,1.2472888588095312
xs,CaptureFast,0.009487363857142857,target_1,1.2462939813407223
xs,CaptureFast,0.009506933178571429,target_1,1.2452991038719137
xs,CaptureFast,0.0095265025,target_1,1.244304226403105
bwr,CRD,1.0,target_1,0.7036969071846589
bwr,CRD,1.0,target_2,7.299414638784624
bwr,CRD,1.0,target_3,7.8533754899892445
bwr,CRD,1.0,target_4,1.5292631572169852
bwr,CRD,1.0,target_5,1.8528414635330877
bwr,CRD,4.142857142857142,target_1,0.7611392351683256
bwr,CRD,4.142857142857142,target_2,5.349780581459556
bwr,CRD,4.142857142857142,target_3,5.682986405098286
bwr,CRD,4.142857142857142,target_4,1.526252151684953
bwr,CRD,4.142857142857142,target_5,1.8398290899065954
bwr,CRD,7.285714285714286,target_1,0.8511742697273021
bwr,CRD,7.285714285714286,target_2,5.810065521854697
bwr,CRD,7.285714285714286,target_3,5.97980043741572
bwr,CRD,7.285714285714286,target_4,1.5616044916209142
bwr,CRD,7.285714285714286,target_5,1.88179227695914
bwr,CRD,10.428571428571429,target_1,0.9085104140864635
bwr,CRD,10.428571428571429,target_2,5.95683051595561
bwr,CRD,10.428571428571429,target_3,6.278961533026697
bwr,CRD,10.428571428571429,target_4,1.7621293883952216
bwr,CRD,10.428571428571429,target_5,1.895460583451599
bwr,CRD,13.571428571428571,target_1,0.9447009672116118
bwr,CRD,13.571428571428571,target_2,5.348202570539963
bwr,CRD,13.571428571428571,target_3,5.621396760446824
bwr,CRD,13.571428571428571,target_4,1.8490695455580868
bwr,CRD,13.571428571428571,target_5,1.8954621910287879
bwr,CRD,16.714285714285715,target_1,0.9604578436824266
bwr,CRD,16.714285714285715,target_2,4.954555184878973
bwr,CRD,16.714285714285715,target_3,5.150253560047759
bwr,CRD,16.714285714285715,target_4,1.824113252675034
bwr,CRD,16.714285714285715,target_5,1.8870521445671156
bwr,CRD,19.857142857142858,target_1,0.9702977100415029
bwr,CRD,19.857142857142858,target_2,4.5852582097797026
bwr,CRD,19.857142857142858,target_3,4.692562521106811
bwr,CRD,19.857142857142858,target_4,1.7149423071636887
bwr,CRD,19.857142857142858,target_5,1.829100134156424
bwr,CRD,23.0,target_1,0.9770885551421006
bwr,CRD,23.0,target_2,4.046466924796119
bwr,CRD,23.0,target_3,4.117920318778469
bwr,CRD,23.0,target_4,1.6036487523054712
bwr,CRD,23.0,target_5,1.8289011805112596
bwr,CRD,26.142857142857142,target_1,0.9816540685045672
bwr,CRD,26.142857142857142,target_2,3.464052146297699
bwr,CRD,26.142857142857142,target_3,3.491439777231088
bwr,CRD,26.142857142857142,target_4,1.504861213513816
bwr,CRD,26.142857142857142,target_5,1.8289011805112596
bwr,CRD,29.285714285714285,target_1,0.9845033216806255
bwr,CRD,29.285714285714285,target_2,2.9444169995708673
bwr,CRD,29.285714285714285,target_3,3.016276405305652
bwr,CRD,29.285714285714285,target_4,1.4174799457422314
bwr,CRD,29.285714285714285,target_5,1.8289011805112596
bwr,CRD,32.42857142857143,target_1,0.987166773255546
bwr,CRD,32.42857142857143,target_2,2.7569478454292433
bwr,CRD,32.42857142857143,target_3,2.8422803596351986
bwr,CRD,32.42857142857143,target_4,1.340836981122881
bwr,CRD,32.42857142857143,target_5,1.8289011805112596
bwr,CRD,35.57142857142857,target_1,0.9894416529094954
bwr,CRD,35.57142857142857,target_2,2.6075842102462725
bwr,CRD,35.57142857142857,target_3,2.6838632264525195
bwr,CRD,35.57142857142857,target_4,1.318789900720535
bwr,CRD,35.57142857142857,target_5,1.8289011805112596
bwr,CRD,38.714285714285715,target_1,0.9913730821430867
bwr,CRD,38.714285714285715,target_2,2.5189373263564656
bwr,CRD,38.714285714285715,target_3,2.6006572453231254
bwr,CRD,38.714285714285715,target_4,1.3072494911034978
bwr,CRD,38.714285714285715,target_5,1.8289011805112596
bwr,CRD,41.857142857142854,target_1,0.9927526527705132
bwr,CRD,41.857142857142854,target_2,2.500637436755813
bwr,CRD,41.857142857142854,target_3,2.575540572966255
bwr,CRD,41.857142857142854,target_4,1.2925707806276459
bwr,CRD,41.857142857142854,target_5,1.8289011805112596
bwr,CRD,45.0,target_1,0.9934393307481012
bwr,CRD,45.0,target_2,2.500637436755813
bwr,CRD,45.0,target_3,2.575540572966255
bwr,CRD,45.0,target_4,1.2820041109148663
bwr,CRD,45.0,target_5,1.8289011805112596
bwr,vanA,285.79580000000004,target_1,0.9335857550821749
bwr,vanA,285.79580000000004,target_2,4.218517605218203
bwr,vanA,285.79580000000004,target_3,4.344896498657039
bwr,vanA,285.79580000000004,target_4,1.5338235989930982
bwr,vanA,285.79580000000004,target_5,1.8471187892525833
bwr,vanA,290.7465964285715,target_1,0.9335857550821749
bwr,vanA,290.7465964285715,target_2,4.222932419958524
bwr,vanA,290.7465964285715,target_3,4.351160796211767
bwr,vanA,290.7465964285715,target_4,1.533099740105796
bwr,vanA,290.7465964285715,target_5,1.8471187892525833
bwr,vanA,295.6973928571429,target_1,0.9331808134588868
bwr,vanA,295.6973928571429,target_2,4.222932419958524
bwr,vanA,295.6973928571429,target_3,4.356691894733965
bwr,vanA,295.6973928571429,target_4,1.533257800079335
bwr,vanA,295.6973928571429,target_5,1.8471175660359327
bwr,vanA,300.6481892857143,target_1,0.9331074879208109
bwr,vanA,300.6481892857143,target_2,4.220855266835181
bwr,vanA,300.6481892857143,target_3,4.354701596583819
bwr,vanA,300.6481892857143,target_4,1.533257800079335
bwr,vanA,300.6481892857143,target_5,1.8471175660359327
bwr,vanA,305.59898571428573,target_1,0.9308337384713015
bwr,vanA,305.59898571428573,target_2,4.221708683649836
bwr,vanA,305.59898571428573,target_3,4.360662824289044
bwr,vanA,305.59898571428573,target_4,1.5122055665691618
bwr,vanA,305.59898571428573,target_5,1.8489527726306798
bwr,vanA,310.54978214285717,target_1,0.9294413253127877
bwr,vanA,310.54978214285717,target_2,4.223855499734464
bwr,vanA,310.54978214285717,target_3,4.371909823986458
bwr,vanA,310.54978214285717,target_4,1.5110991846635198
bwr,vanA,310.54978214285717,target_5,1.8489527726306798
bwr,vanA,315.5005785714286,target_1,0.9288341819296286
bwr,vanA,315.5005785714286,target_2,4.246964601174248
bwr,vanA,315.5005785714286,target_3,4.3825128069602295
bwr,vanA,315.5005785714286,target_4,1.50780136035932
bwr,vanA,315.5005785714286,target_5,1.8489527726306798
bwr,vanA,320.451375,target_1,0.9283414291504483
bwr,vanA,320.451375,target_2,4.263129130711668
bwr,vanA,320.451375,target_3,4.392316041043987
bwr,vanA,320.451375,target_4,1.5053024601470832
bwr,vanA,320.451375,target_5,1.8505844937986748
bwr,vanA,325.4021714285714,target_1,0.9271181142880885
bwr,vanA,325.4021714285714,target_2,4.264590025277945
bwr,vanA,325.4021714285714,target_3,4.40656627860061
bwr,vanA,325.4021714285714,target_4,1.500084393406345
bwr,vanA,325.4021714285714,target_5,1.8507612504795403
bwr,vanA,330.35296785714286,target_1,0.9265673282604295
bwr,vanA,330.35296785714286,target_2,4.262896980454157
bwr,vanA,330.35296785714286,target_3,4.40656627860061
bwr,vanA,330.35296785714286,target_4,1.4993652825365393
bwr,vanA,330.35296785714286,target_5,1.8510140940236874
bwr,vanA,335.3037642857143,target_1,0.9245067649384486
bwr,vanA,335.3037642857143,target_2,4.292073023170302
bwr,vanA,335.3037642857143,target_3,4.413732206673753
bwr,vanA,335.3037642857143,target_4,1.4994962249609154
bwr,vanA,335.3037642857143,target_5,1.8473385095582557
bwr,vanA,340.25456071428573,target_1,0.9320597714659027
bwr,vanA,340.25456071428573,target_2,4.2412902754551745
bwr,vanA,340.25456071428573,target_3,4.35000425896968
bwr,vanA,340.25456071428573,target_4,1.527094993645004
bwr,vanA,340.25456071428573,target_5,1.84302711367893
bwr,vanA,345.2053571428571,target_1,0.9320597714659027
bwr,vanA,345.2053571428571,target_2,4.2413768621602275
bwr,vanA,345.2053571428571,target_3,4.35000425896968
bwr,vanA,345.2053571428571,target_4,1.5270879208955233
bwr,vanA,345.2053571428571,target_5,1.8429960193580017
bwr,vanA,350.15615357142855,target_1,0.9320597714659027
bwr,vanA,350.15615357142855,target_2,4.2413768621602275
bwr,vanA,350.15615357142855,target_3,4.35000425896968
bwr,vanA,350.15615357142855,target_4,1.5270879208955233
bwr,vanA,350.15615357142855,target_5,1.8429941493340405
bwr,vanA,355.10695,target_1,0.9320597714659027
bwr,vanA,355.10695,target_2,4.2413768621602275
bwr,vanA,355.10695,target_3,4.35000425896968
bwr,vanA,355.10695,target_4,1.5271647861417847
bwr,vanA,355.10695,target_5,1.8429934611041279
fp,ax_pow,0.9641665,target_1,2.9859960941417374e-05
fp,ax_pow,0.9641665,target_2,1543.1073160365354
fp,ax_pow,0.9641665,target_3,699.2666761460887
fp,ax_pow,0.9641665,target_4,1.823696264306935e-05
fp,ax_pow,0.9696896071428571,target_1,3.0031345321508727e-05
fp,ax_pow,0.9696896071428571,target_2,1550.6588471587927
fp,ax_pow,0.9696896071428571,target_3,699.760349773276
fp,ax_pow,0.9696896071428571,target_4,1.839402247728935e-05
fp,ax_pow,0.9752127142857143,target_1,3.0202729701600084e-05
fp,ax_pow,0.9752127142857143,target_2,1558.2103782810495
fp,ax_pow,0.9752127142857143,target_3,700.2540234004633
fp,ax_pow,0.9752127142857143,target_4,1.855108231150936e-05
fp,ax_pow,0.9807358214285715,target_1,3.0374114081691445e-05
fp,ax_pow,0.9807358214285715,target_2,1565.7619094033068
fp,ax_pow,0.9807358214285715,target_3,700.7476970276506
fp,ax_pow,0.9807358214285715,target_4,1.870814214572937e-05
fp,ax_pow,0.9862589285714286,target_1,3.0545498461782795e-05
fp,ax_pow,0.9862589285714286,target_2,1573.3134405255637
fp,ax_pow,0.9862589285714286,target_3,701.2413706548379
fp,ax_pow,0.9862589285714286,target_4,1.8865201979949367e-05
fp,ax_pow,0.9917820357142857,target_1,3.071688284187415e-05
fp,ax_pow,0.9917820357142857,target_2,1580.8649716478208
fp,ax_pow,0.9917820357142857,target_3,701.7350442820252
fp,ax_pow,0.9917820357142857,target_4,1.9022261814169372e-05
fp,ax_pow,0.9973051428571429,target_1,3.088826722196551e-05
fp,ax_pow,0.9973051428571429,target_2,1588.4165027700778
fp,ax_pow,0.9973051428571429,target_3,702.2287179092125
fp,ax_pow,0.9973051428571429,target_4,1.917932164838938e-05
fp,ax_pow,1.00282825,target_1,3.105965160205686e-05
fp,ax_pow,1.00282825,target_2,1595.968033892335
fp,ax_pow,1.00282825,target_3,702.7223915363999
fp,ax_pow,1.00282825,target_4,1.9336381482609386e-05
fp,ax_pow,1.0083513571428573,target_1,3.123103598214822e-05
fp,ax_pow,1.0083513571428573,target_2,1603.519565014592
fp,ax_pow,1.0083513571428573,target_3,703.2160651635871
fp,ax_pow,1.0083513571428573,target_4,1.9493441316829392e-05
fp,ax_pow,1.0138744642857143,target_1,3.140242036223957e-05
fp,ax_pow,1.0138744642857143,target_2,1611.071096136849
fp,ax_pow,1.0138744642857143,target_3,703.7097387907745
fp,ax_pow,1.0138744642857143,target_4,1.9650501151049394e-05
fp,ax_pow,1.0193975714285715,target_1,3.157380474233093e-05
fp,ax_pow,1.0193975714285715,target_2,1618.6226272591061
fp,ax_pow,1.0193975714285715,target_3,704.2034124179618
