dataset,feature,target,perturbation,mean_prediction_delta,normalized_mean_delta,response_direction,expected_direction,direction_consistent
chf,L (m),CHF (kW m-2),minus_10pct,86.79341160428012,0.008977615184980891,1,1,True
chf,L (m),CHF (kW m-2),plus_10pct,-114.5349258100933,-0.011847103024956404,-1,-1,True
chf,Xe (-),CHF (kW m-2),minus_10pct,51.25930197943989,0.005302087788878286,1,1,True
chf,Xe (-),CHF (kW m-2),plus_10pct,-44.00816458863623,-0.0045520548088997526,-1,-1,True
chf,G (kg m-2s-1),CHF (kW m-2),minus_10pct,-45.1469705094449,-0.004669849018603268,-1,-1,True
chf,G (kg m-2s-1),CHF (kW m-2),plus_10pct,55.20959579893389,0.005710692740838449,1,1,True
heat,qprime,T,minus_10pct,-184.83040320809195,-0.3535229233745697,-1,-1,True
heat,qprime,T,plus_10pct,183.72323384369068,0.3514052536428577,1,1,True
heat,k,T,minus_10pct,-91.53277162141936,-0.1750736483096323,-1,1,False
heat,k,T,plus_10pct,96.68638758263646,0.18493090852730382,1,-1,False
heat,L,T,minus_10pct,-6.2189833269500046,-0.011894975761567887,-1,-1,True
heat,L,T,plus_10pct,5.958651375487074,0.011397041920968265,1,1,True
xs,FissionThermal,k,minus_10pct,-0.015278945220234274,-0.3336597051937949,-1,-1,True
xs,FissionThermal,k,plus_10pct,0.012307177799431634,0.2687626179121161,1,1,True
xs,CaptureFast,k,minus_10pct,0.012197107238522117,0.26635891069449036,1,1,True
xs,CaptureFast,k,plus_10pct,-0.011794658484878323,-0.2575702848724299,-1,-1,True
xs,Scatter12,k,minus_10pct,-0.00846394145362251,-0.18483450064689247,-1,-1,True
xs,Scatter12,k,plus_10pct,0.007021328334907757,0.1533308948049386,1,1,True
bwr,CRD,K-eff,minus_10pct,-0.006333121712368126,-0.021000503075133885,-1,0,False
bwr,CRD,Max3Pin,minus_10pct,0.1539605168336748,0.028421731001232194,1,0,False
bwr,CRD,Max4Pin,minus_10pct,0.1622424164979629,0.02745218553265024,1,0,False
bwr,CRD,F-delta-H,minus_10pct,0.019545544324804993,0.02681144626173525,1,0,False
bwr,CRD,Max-Fxy,minus_10pct,0.006126728938868928,0.014215148350043914,1,0,False
bwr,CRD,K-eff,plus_10pct,0.004099018799679235,0.013592263155085833,1,0,False
bwr,CRD,Max3Pin,plus_10pct,-0.11945170780144665,-0.022051265977745368,-1,0,False
bwr,CRD,Max4Pin,plus_10pct,-0.12118789131910339,-0.020505565367022572,-1,0,False
bwr,CRD,F-delta-H,plus_10pct,-0.018242165981929067,-0.025023547300314225,-1,0,False
bwr,CRD,Max-Fxy,plus_10pct,-0.02533719140995511,-0.05878698703005825,-1,0,False
bwr,vanA,K-eff,minus_10pct,0.0009663237721648013,0.00320431001812117,1,0,False
bwr,vanA,Max3Pin,minus_10pct,0.020923387727701685,0.0038625415779401304,1,0,False
bwr,vanA,Max4Pin,minus_10pct,-0.007148781721929506,-0.0012096077363670907,-1,0,False
bwr,vanA,F-delta-H,minus_10pct,0.0070766400233168,0.009707325134865297,1,0,False
bwr,vanA,Max-Fxy,minus_10pct,0.002358068327181005,0.005471156211556856,1,0,False
